course_run_key,reporting_type,announcement
course-v1:BUx+Math226.3x+3T2015,mooc,7/13/15
course-v1:BUx+PY1x+3T2015,mooc,8/27/15
course-v1:BUx+PY1x+3T2016,mooc,8/9/16
course-v1:BUx+SABR101x+2T2015,mooc,2/23/15
course-v1:BUx+SpanishX+1T2016,mooc,6/30/15
course-v1:BUx+SpanishX+1T2017,mooc,1/6/17
course-v1:CaltechDelftX+QuCryptox+3T2016,mooc,4/28/16
course-v1:CaltechX+BEM1105x+1T2016,mooc,1/20/16
course-v1:CaltechX+BEM1105x+3T2015,mooc,6/12/15
course-v1:CaltechX+BEM1105x+3T2016,mooc,7/5/16
course-v1:CaltechX+CS_1156x+3T2016,mooc,6/7/16
course-v1:CaltechX+Ec1011x_2+T12015,mooc,11/5/14
course-v1:CaltechX+Ec1011x+1T2016,mooc,6/17/15
course-v1:CaltechX+Ec1011x+1T2017,mooc,11/23/16
course-v1:CatalystX+IL3x+2015_T3,mooc,7/8/15
course-v1:CatalystX+IL4x+1T2016,mooc,2/29/16
course-v1:CatalystX+IL4x+2015_T3,mooc,12/8/15
course-v1:CatalystX+IL4x+3T2016,mooc,10/6/16
course-v1:Catalystx+IL5x+2016_T1,mooc,9/22/15
course-v1:Catalystx+IL5x+2T2016,mooc,5/20/16
course-v1:Catalystx+IL5x+3T2016,mooc,11/8/16
course-v1:CatalystX+ILDIV1x+1T2017,mooc,12/15/16
course-v1:CatalystX+ILX2+2015_2T,mooc,6/5/15
course-v1:CatalystX+ILX2+2016_1T,mooc,9/22/15
course-v1:CatalystX+ILX2+2016_T2,mooc,2/29/16
course-v1:CatalystX+ILX2+3T2016,mooc,9/21/16
course-v1:ChalmersX+ChM001x+3T2016,mooc,5/19/16
course-v1:ChalmersX+ChM002x+2T2015,mooc,2/18/15
course-v1:ChalmersX+ChM002x+3T2016,mooc,5/19/16
course-v1:ChalmersX+ChM003x+1T2016,mooc,11/20/15
course-v1:ChalmersX+ChM003x+1T2017,mooc,
course-v1:ChalmersX+ChM004x+1T2016,mooc,11/20/15
course-v1:ChalmersX+ChM005x+3T2016,mooc,8/16/16
course-v1:ChalmersX+ChM006x+1T2017,mooc,8/29/16
course-v1:ChalmersX+ChM007x+3T2016,mooc,8/16/16
course-v1:ChalmersX+ChM008x+1T2017,mooc,8/29/16
course-v1:ColgateX+GW101x+3T2015,mooc,2/26/15
course-v1:ColgateX+PSYCRx+1T2016,mooc,2/16/16
course-v1:ColgateX+PSYCRx+2015_T3,mooc,6/10/15
course-v1:ColumbiaX+CSMM.101x+1T2017,mooc,9/20/16
course-v1:ColumbiaX+CSMM.102x+1T2017,mooc,9/20/16
course-v1:ColumbiaX+CSMM.103x+1T2017,mooc,9/20/16
course-v1:ColumbiaX+CSMM.104x+1T2017,mooc,9/20/16
course-v1:ColumbiaX+DS101X+1T2016,mooc,2/3/16
course-v1:ColumbiaX+DS101X+3T2015,mooc,10/26/15
course-v1:ColumbiaX+DS102X+1T2016,mooc,10/26/15
course-v1:ColumbiaX+DS102X+2T2016,mooc,3/24/16
course-v1:ColumbiaX+DS103x+1T2016,mooc,10/25/15
